,Unnamed: 0ECG,meanHrECG,medianHrECG,stdHrECG,varHrECG,meanHrvECG,medianHrvECG,stdHrvECG,varHrvECG,rmssdECG,sdnnECG,nn50ECG,pnn50ECG,mrriECG,mhrECG,Unnamed: 0EDA,meanEDA,stdEDA,rangeEDA,maxEDA,minEDA,slopeEDA,labelEDA,endEDA,startEDA,Unnamed: 0EDAwrist,meanEDAwrist,stdEDAwrist,rangeEDAwrist,maxEDAwrist,minEDAwrist,slopeEDAwrist,labelEDAwrist,endEDAwrist,startEDAwrist,stress,amuse,subject
0,0.0,138.92903234815785,139.53488372093022,6.852237412109875,46.953157551918224,432.96218487394964,430.0,22.084928530912684,487.74406821552117,6.023386019368344,22.16657364680748,0.0,0.0,432.96218487394964,138.92903234815785,0,2.6991367032120634,0.0748076592939421,0.3541113673736791,2.9023151636495297,2.548203796275851,3.251250361997756e-06,2,42000.0,0.0,0.0,1.6332873642857142,0.16256331181234668,0.669427,2.056638,1.387211,0.0014385190476190481,2.0,420.0,0.0,1.0,0.0,16
1,1.0,138.92903234815785,139.53488372093022,6.852237412109875,46.953157551918224,432.96218487394964,430.0,22.084928530912684,487.74406821552117,6.023386019368344,22.16657364680748,0.0,0.0,432.96218487394964,138.92903234815785,1,2.699699217012068,0.07468368760455414,0.3541113673736791,2.9023151636495297,2.548203796275851,3.2355837272226887e-06,2,42175.0,175.0,1.0,1.6348142238095236,0.16345828918858607,0.669427,2.056638,1.387211,0.001511628571428572,2.0,421.0,1.0,1.0,0.0,16
2,2.0,138.79985019744015,139.30386570152473,6.8378743147784515,46.7565251447069,433.3613445378151,430.71428571428567,22.053580809554497,486.36042652355036,6.0384257082466135,22.135110036989893,0.0,0.0,433.3613445378151,138.79985019744015,2,2.700303216878177,0.07451502586332992,0.3541113673736791,2.9023151636495297,2.548203796275851,3.356528985350358e-06,2,42350.0,350.0,2.0,1.6363441285714286,0.16440142942264002,0.6707060000000002,2.0579169999999998,1.387211,0.0015451357142857148,2.0,422.0,2.0,1.0,0.0,16
3,3.0,138.79985019744015,139.30386570152473,6.8378743147784515,46.7565251447069,433.3613445378151,430.71428571428567,22.053580809554497,486.36042652355036,6.0384257082466135,22.135110036989893,0.0,0.0,433.3613445378151,138.79985019744015,3,2.700911463842817,0.0742991272162227,0.3541113673736791,2.9023151636495297,2.548203796275851,3.642809667516902e-06,2,42525.0,525.0,3.0,1.6379075404761905,0.16535109156445832,0.6783819999999998,2.0655930000000002,1.387211,0.0015542714285714284,2.0,423.0,3.0,1.0,0.0,16
4,4.0,138.65694407671592,139.0728476821192,6.816520046783439,46.464945548200504,433.8025210084034,431.4285714285714,22.01046119025636,484.4604018077816,6.0321637282273874,22.091831010052747,0.0,0.0,433.8025210084034,138.65694407671592,4,2.7015655132877776,0.07399303321909641,0.3541113673736791,2.9023151636495297,2.548203796275851,3.7478211739327654e-06,2,42700.0,700.0,4.0,1.6394404904761906,0.16623912375448638,0.6783819999999998,2.0655930000000002,1.387211,0.0015390428571428571,2.0,424.0,4.0,1.0,0.0,16
5,5.0,138.51684872292594,138.8433545341289,6.821164452113543,46.52828448277745,434.24369747899163,432.1428571428572,22.044332975634656,485.9526163406536,6.043430620592152,22.12582801502769,0.0,0.0,434.24369747899163,138.51684872292594,5,2.7022586709789342,0.07361746024173572,0.3541113673736791,2.9023151636495297,2.548203796275851,4.111511329400363e-06,2,42875.0,875.0,5.0,1.6409399309523809,0.1670034373635479,0.6783819999999998,2.0655930000000002,1.387211,0.0015177190476190472,2.0,425.0,5.0,1.0,0.0,16
6,6.0,138.51684872292594,138.8433545341289,6.821164452113543,46.52828448277745,434.24369747899163,432.1428571428572,22.044332975634656,485.9526163406536,6.043430620592152,22.12582801502769,0.0,0.0,434.24369747899163,138.51684872292594,6,2.702974856349861,0.07318173441432775,0.3541113673736791,2.9023151636495297,2.548203796275851,4.153366509721058e-06,2,43050.0,1050.0,6.0,1.642430235714286,0.1676610927177605,0.6783819999999998,2.0655930000000002,1.387211,0.0014781190476190473,2.0,426.0,6.0,1.0,0.0,16
7,7.0,138.38260097061683,138.61386138613858,6.815085177375192,46.44538597487904,434.6638655462185,432.8571428571429,22.04112935801793,485.8113833768798,6.047181586477598,22.12261255405221,0.0,0.0,434.6638655462185,138.38260097061683,7,2.7037028719297456,0.07268754359147367,0.3541113673736791,2.9023151636495297,2.548203796275851,4.266897810097925e-06,2,43225.0,1225.0,7.0,1.6438504761904764,0.16819214922212913,0.6783819999999998,2.0655930000000002,1.387211,0.0014385166666666671,2.0,427.0,7.0,1.0,0.0,16
8,8.0,138.3160393403797,138.61386138613858,6.796093332694367,46.18688458669285,434.86772486772486,432.8571428571429,21.99449961907438,483.7580134934629,6.049597021643391,22.076416102314223,0.0,0.0,434.86772486772486,138.3160393403797,8,2.7044448819447053,0.07218889794699956,0.3541113673736791,2.9023151636495297,2.548203796275851,4.35112186670691e-06,2,43400.0,1400.0,8.0,1.6452554833333335,0.16861350679381193,0.6783819999999998,2.0655930000000002,1.387211,0.001405007142857143,2.0,428.0,8.0,1.0,0.0,16
9,9.0,138.25808892323496,138.61386138613858,6.804457289569907,46.30063900558105,435.0525210084034,432.8571428571429,22.0184278983288,484.81116711390405,6.032163728227387,22.099827170011476,0.0,0.0,435.0525210084034,138.25808892323496,9,2.7052201228441377,0.07162014457519925,0.3541113673736791,2.9023151636495297,2.548203796275851,4.433479906386497e-06,2,43575.0,1575.0,9.0,1.6466026142857144,0.16890864641674488,0.6783819999999998,2.0655930000000002,1.387211,0.0013532238095238095,2.0,429.0,9.0,1.0,0.0,16
