,Unnamed: 0ECG,meanHrECG,medianHrECG,stdHrECG,varHrECG,meanHrvECG,medianHrvECG,stdHrvECG,varHrvECG,rmssdECG,sdnnECG,nn50ECG,pnn50ECG,mrriECG,mhrECG,Unnamed: 0EDA,meanEDA,stdEDA,rangeEDA,maxEDA,minEDA,slopeEDA,labelEDA,endEDA,startEDA,Unnamed: 0EDAwrist,meanEDAwrist,stdEDAwrist,rangeEDAwrist,maxEDAwrist,minEDAwrist,slopeEDAwrist,labelEDAwrist,endEDAwrist,startEDAwrist,stress,amuse
0,0.0,80.17068540196982,81.95192153936358,10.250923783540372,105.08143841595366,768.4586466165414,732.1428571428571,161.89595045352095,26210.298773248913,226.10580871506568,162.97168288865058,19.0,25.0,768.4586466165414,80.17068540196982,0,1.2124964987531308,0.028404724039756562,0.09538675897426764,1.273276635044622,1.1778898760703544,-1.740438615716457e-06,2,42000.0,0.0,0,0.6810289119047621,0.060419940631457975,0.22038900000000008,0.807505,0.587116,-0.00043626190476190484,2,420.0,0.0,1,0
1,1.0,80.17068540196982,81.95192153936358,10.250923783540372,105.08143841595366,768.4586466165414,732.1428571428571,161.89595045352095,26210.298773248913,226.10580871506568,162.97168288865058,19.0,25.0,768.4586466165414,80.17068540196982,1,1.212191268833677,0.028293624816743707,0.09538675897426764,1.273276635044622,1.1778898760703544,-1.8053926615530272e-06,2,42175.0,175.0,1,0.6805956999999999,0.060283116654234914,0.22038900000000008,0.807505,0.587116,-0.0004454142857142858,2,421.0,1.0,1,0
2,2.0,80.11764996196683,81.71206225680933,10.194631627021714,103.93051401067137,768.7198515769943,734.2857142857142,160.85736107828885,25875.090613070992,224.62195236057656,161.9121747481147,19.0,24.675324675324674,768.7198515769943,80.11764996196683,2,1.2118687562997317,0.02814098517349061,0.09538675897426764,1.273276635044622,1.1778898760703544,-1.8019107376307758e-06,2,42350.0,350.0,2,0.6801441833333333,0.06012724012088435,0.22038900000000008,0.807505,0.587116,-0.0004637214285714286,2,422.0,2.0,1,0
3,3.0,80.02766480700417,81.63273015753089,10.231056959533461,104.67452650921804,769.7556390977444,735.0,161.65686634342862,26132.94243597716,226.11393191062248,162.73101016234384,19.0,25.0,769.7556390977444,80.02766480700417,3,1.2115463434050249,0.027965382112297245,0.09538675897426764,1.273276635044622,1.1778898760703544,-1.8654785075753516e-06,2,42525.0,525.0,3,0.6796804619047621,0.05994336546132109,0.22038900000000008,0.807505,0.587116,-0.0004789738095238096,2,423.0,3.0,1,0
4,4.0,80.02766480700417,81.63273015753089,10.231056959533461,104.67452650921804,769.7556390977444,735.0,161.65686634342862,26132.94243597716,226.11393191062248,162.73101016234384,19.0,25.0,769.7556390977444,80.02766480700417,4,1.211229626054113,0.027786654925350304,0.09538675897426764,1.273276635044622,1.1778898760703544,-1.8404902217097554e-06,2,42700.0,700.0,4,0.6792014880952382,0.05972338836070164,0.20629499999999998,0.793411,0.587116,-0.0004393142857142857,2,424.0,4.0,1,0
5,5.0,79.90930523986201,81.47437344773087,10.195898970973856,103.95635582630577,770.7894736842105,736.4285714285713,161.36707770405863,26039.3337667477,226.07716460036715,162.43929599588168,19.0,25.0,770.7894736842105,79.90930523986201,5,1.2108809853519915,0.02755964432160452,0.09446465764474833,1.2723545337151028,1.1778898760703544,-2.078821814381116e-06,2,42875.0,875.0,5,0.6787621738095238,0.059578964932830186,0.20629499999999998,0.793411,0.587116,-0.00043016190476190486,2,425.0,5.0,1,0
6,6.0,79.90930523986201,81.47437344773087,10.195898970973856,103.95635582630577,770.7894736842105,736.4285714285713,161.36707770405863,26039.3337667477,226.07716460036715,162.43929599588168,19.0,25.0,770.7894736842105,79.90930523986201,6,1.2105289867349731,0.02733318780751445,0.09433557248194703,1.2722254485523017,1.1778898760703544,-1.9935678873882214e-06,2,43050.0,1050.0,6,0.6783289619047618,0.05945169944900431,0.20629499999999998,0.793411,0.587116,-0.0003691452380952381,2,426.0,6.0,1,0
7,7.0,79.90930523986201,81.47437344773087,10.195898970973856,103.95635582630577,770.7894736842105,736.4285714285713,161.36707770405863,26039.3337667477,226.07716460036715,162.43929599588168,19.0,25.0,770.7894736842105,79.90930523986201,7,1.2101992127898271,0.02713140420719783,0.09433557248194703,1.2722254485523017,1.1778898760703544,-1.9808767721798827e-06,2,43225.0,1225.0,7,0.6779598166666666,0.05942417959497157,0.20629499999999998,0.793411,0.587116,-0.0003996547619047619,2,427.0,7.0,1,0
8,8.0,79.7501549463332,81.31662993117719,10.07884621364216,101.58314099824891,772.0488721804512,737.8571428571429,160.73597773847754,25836.054539544344,226.03882635602264,161.80400262891604,19.0,25.0,772.0488721804512,79.7501549463332,8,1.2098357961425543,0.02690426785838458,0.09433557248194703,1.2722254485523017,1.1778898760703544,-2.0931234352928344e-06,2,43400.0,1400.0,8,0.6775540595238096,0.05935624122400015,0.20629499999999998,0.793411,0.587116,-0.0004484666666666666,2,428.0,8.0,1,0
9,9.0,79.7501549463332,81.31662993117719,10.07884621364216,101.58314099824891,772.0488721804512,737.8571428571429,160.73597773847754,25836.054539544344,226.03882635602264,161.80400262891604,19.0,25.0,772.0488721804512,79.7501549463332,9,1.2094645353244464,0.026668261419563608,0.09284380198676634,1.2707336780571208,1.1778898760703544,-2.14206190885033e-06,2,43575.0,1575.0,9,0.6770994928571428,0.05921775411565632,0.20629499999999998,0.793411,0.587116,-0.0004606690476190477,2,429.0,9.0,1,0
